Url,Title
/book/just-saiyan-(dbz-dc)_20477779906846305,Just Saiyan (DBZ/DC)
/book/curse-of-gacha---a-melancholic-life-of-a-gamble-addict_24444204005481305,Curse of Gacha - A Melancholic Life of a Gamble Addict
/book/the-g%C3%A0mer-in-the-multiverse-(-au-)_22746566505060205,THE GÀMER : IN THE MULTIVERSE ( AU )
/book/dxd-king-of-salt_24792945606066405,DxD: King of Salt
/book/god-of-the-omniverse_25013331206821905,God Of The Omniverse
/book/the-kryptonian-of-a-certain-american-comic_24899124806461905,The Kryptonian of a Certain American Comic
/book/the-reincarnator's-tavern_24697068506779105,The Reincarnator's Tavern
/book/primogenitor-in-marvel_23563781906594105,Primogenitor in Marvel
/book/rewritten._24430775705383805,Rewritten.
/book/infinite-evolution-a-spy-in-multiverse_25452415905953905,Infinite Evolution: A spy in multiverse
/book/a-superhero-harem-their-love-makes-me-stronger-(mha-opm-naruto-op)_22950155206435305,"A Superhero Harem? Their love makes me stronger (MHA, OPM, Naruto, OP)"
/book/one-piece-reborn-as-a-skypiean_18952370106851705,One Piece: Reborn as a Skypiean
/book/a-new-era-of-villain-(dc-marvel)_24083232605763005,A New Era of Villain (DC/Marvel)
/book/harry-potter-world-on-fire_21478876705399405,Harry Potter: World on Fire
/book/ant-king-in-mha_19708998505993005,Ant King In MHA
/book/vice-captain-of-the-straw-hat-pirates_23673234406419705,Vice Captain of the Straw Hat Pirates
/book/one-piece-gambling-to-the-top_20772799605635405,One Piece: Gambling to The Top
/book/game-of-thrones-the-prideful-one._17509790806343405,Game of Thrones: The Prideful One.
/book/(complete)-a-murder-wizards-adventures_24912293505245305,(COMPLETE) A Murder Wizards Adventures
/book/playing-as-a-bender-(avatar-last-airbender-si)_23513379606293205,Playing as a Bender (Avatar: Last Airbender SI)
/book/my-chaos-academia-brotherhood-(mha-bnha)_24226684006175505,My Chaos Academia: Brotherhood (MHA/BNHA)
/book/the-slayer-gamer_24441784406753605,The Slayer Gamer
/book/as-buddha-in-mha_24649727606586805,As Buddha in MHA
/book/omni-dimensional-emanation_24535909305871705,Omni-Dimensional Emanation
/book/different-sex-story_17866118606433205,Different Sex Story
/book/the-last-slytherin_16182845206224705,The Last Slytherin
/book/hp-i-have-%22pure%22-magic_20375481605707305,HP: I Have 
/book/marvel-the-social-link-system_25418924205867205,Marvel: The Social Link System
/book/sinful-life-with-the-strongest-system_15303734706913605,Sinful life with the strongest system
/book/naruto-the-blind-swordsman_23779640305115005,Naruto: The Blind Swordsman
/book/high-human-in-crossed-worlds---a-hp-x-dxd-fic_21543904506831605,High Human in Crossed Worlds - A HP x DxD Fic
/book/twilight-a-transmigration-story_25095585406113905,Twilight: A Transmigration Story
/book/road-to-god_24425346305345405,Road to God
/book/naruto-invincible-uchiha_16744196306207605,Naruto : Invincible Uchiha
/book/final-fantasy-crisis-and-tranquility_24966084006688405,Final Fantasy: Crisis and Tranquility
/book/transported-to-a-parallel-fictional-world_24142642305251005,Transported to a parallel fictional world
/book/hollywood-king_23170027105214205,Hollywood King
/book/athos-apsifoun-the-son-of-herakles_24277222205264605,Athos Apsifoun : The Son Of Herakles
/book/(got-asoiaf)-the-emperor_25401876106100105,(GOT/ASOIAF) The Emperor
/book/hp-first-light_25204983205192105,HP: First Light
/book/hp-eagle-soars_22481890906806405,HP: Eagle Soars
/book/i-was-reincarnated-as-a-crow-(dropped)_25595617805357805,I was reincarnated as a Crow? (DROPPED)
/book/douluo-mistake-bibi-dong-as-my-sister_25174694605090805,Douluo: Mistake Bibi Dong as my sister
/book/jumping-through-the-omniverse-as-a-conduit_24412636106515505,Jumping Through the Omniverse as a Conduit
/book/majesty's-journey-6-living-omnitrix-in-mcu(natasha-romanoff-x-maleoc)_25528811705162605,Majesty's Journey 6: living Omnitrix in MCU(Natasha Romanoff x maleoc)
/book/one-piece-kingdom-building-system_24143779506527005,One Piece : Kingdom Building System
/book/in-pacific-rim-with-the-ultimate-tech-resources-system_25399895506094605,In Pacific Rim with the Ultimate Tech Resources System
/book/majesty's-journey-2-natasha's-symbiote-in-marvel_23871034106159805,Majesty's Journey 2: Natasha's Symbiote in Marvel
/book/life-in-dxd_15421532606437105,Life in DXD
/book/creating-the-manga-of-naruto-on-naruto-world-become-my-ultimate-goal!_19362167405109205,Creating The Manga Of Naruto On Naruto World Become My Ultimate Goal!
/book/the-vampire-and-the-addams_25145732906281705,The Vampire and The Addams
/book/reborn-in-konoha-as-the-anbu-torturer_21747821906636805,Reborn in Konoha as the Anbu Torturer
/book/the-wish-of-the-dragon_12879426706827705,The Wish of the Dragon
/book/a-vampire-in-my-wife-is-a-beautiful-ceo_25317245706813005,A Vampire in My Wife is a Beautiful CEO
/book/got-break-the-wheel_24822006105897305,GoT: Break the Wheel
/book/survival-of-a-loner-marvel_21858578806269605,Survival of a Loner MARVEL
/book/flames-of-justice-(completed)_25208079205198905,Flames of Justice (Completed)
/book/tyrant-system-in-one-piece_25381666905778305,Tyrant system in one piece
/book/journey-to-the-one-piece_23896291205144005,Journey to the One Piece
/book/marvel-psychomimetic_19142983905409305,Marvel: Psychomimetic
/book/traveling-through-mortal-cultivation-low-key-cultivation-of-immortals_25507417506367505,Traveling Through Mortal Cultivation Low-key Cultivation of Immortals
/book/marvel-x-hp-moses'-odd-venture_24874910206365205,Marvel x HP: Moses' Odd-venture
/book/naruto-eternal-darkness_20943062105217005,Naruto: Eternal Darkness
/book/head-patting-in-marvel_23078551805902405,Head-Patting in Marvel
/book/the-shopkeeper-of-konoha_25096946305855105,The Shopkeeper of Konoha
/book/naruto-rebirth-in-the-ninja-world_24993610105501305,Naruto: Rebirth in the Ninja World
/book/mha-code_20935829405169005,MHA: Code
/book/conquering-the-omni-verse!_23677170806450105,Conquering The Omni-Verse!
/book/naruto-konoha's-light_22442491106545605,Naruto: Konoha's Light
/book/bnha-martial-arts-god_25130366406224305,BNHA: Martial Arts God
/book/living-to-the-fullest-in-the-world-of-naruto-(completed)_18759870706054305,Living to the Fullest in the World of Naruto (COMPLETED)
/book/marvel-meditation-system_20855669106813205,Marvel: Meditation System
/book/fate-of-dxd_20730453305190705,FATE of DxD
/book/naruto-i-became-a-god_25298414606754305,NARUTO: I BECAME A GOD
/book/rebirth-of-the-mightiest-disciple-(reboot)_13520985605105905,Rebirth Of The Mightiest Disciple (Reboot)
/book/new-god-in-marvel_21731452906433805,New God in marvel
/book/master-druid-in-hogwarts._23992567105061105,Master Druid in Hogwarts.
/book/the-wizard-gamer-harry-potterxmarvel-au_25419062405867705,The Wizard Gamer Harry PotterxMarvel AU
/book/overlord-the-origin_17699656305398605,Overlord: The Origin
/book/ordverse-ascension_22354974105878405,Ordverse Ascension
/book/dc-rose-of-death_22532361705879405,DC: Rose Of Death
/book/game-developer-in-marvel_24958594006671705,Game Developer In Marvel
/book/elder-blood-witcher_15882698206325105,Elder Blood Witcher
/book/sign-in-from-martial-universe-(wu-dong-qian-kun)_25499293805080405,SIGN IN FROM MARTIAL UNIVERSE (WU DONG QIAN KUN)
/book/stealing-heroine-honestly-i-never-thought-this-far.-(r-18-rewrite)_24890209205156705,"Stealing Heroine: Honestly, I never thought this far. (R-18-Rewrite)"
/book/a-hentai-system-in-the-world-of-dungeon-ni-deai_23401059405283205,A Hentai System in the World of Dungeon Ni Deai
/book/a-reincarnated-tale-pok%C3%A9mon_20401428705956305,A Reincarnated Tale : Pokémon
/book/marvel-with-zanpakutou_12336517906295805,Marvel With Zanpakutou
/book/naruto-si-lightning-and-roses_24400269405158905,Naruto SI : LIGHTNING AND ROSES
/book/supreme-overlord-system-(re-write)_25213042806473405,Supreme Overlord System (Re-Write)
/book/rock-lee-the-insane!_18295443305091405,Rock Lee the Insane!
/book/the-100-advanced-preparation_25584726305325405,The 100: Advanced Preparation
/book/prince-of-nazarick-%5Boverlord%5D_24606369706416605,Prince of Nazarick [Overlord]
/book/quest-maker-of-soul-land_20425447305168305,Quest Maker of Soul Land
/book/atla-an-impossible-task_25432252605902105,ATLA: An Impossible Task
/book/winds-of-change-(dxd)_23387090205202405,Winds of Change (DxD)
/book/rwby-gamer-path_24217641705819705,RWBY: GAMER PATH
