qidianBookId,numOfChapters,numOfCollectedChapters,completionPercentage,missingChapterIds,noCommentChapterIds
1003483393,132,116,87.87878787878788,"['312538971', '336505179', '341745269', '351229870', '378112156', '393291652', '307826633', '307847371', '307937440', '307955223', '307993753', '308008094', '308039217', '308066106', '308134685', '308253085', '308282683', '308297837', '308327959', '308345137', '308385430', '308397776', '308429664', '308444371', '308476955', '308492660', '308522201', '308555425', '308587422', '308613201', '308700743', '308724533', '308761996', '308773369', '308799612', '308813864', '308846162', '308860680', '308892361', '308906441', '308936503', '308949173', '308978677', '308990699', '309021977', '309035212', '309066777', '309078369', '309107421', '309121079', '309211992', '309247454', '309309388', '309326143', '309363454', '309394774', '309441507', '309456978', '309502937', '309522835', '309569835', '309588504', '309625674', '309641358', '309692177', '309708871', '309758331', '309778422', '309815301', '309828292', '309859686', '309873796', '309922723', '309937708', '309979804', '310004400', '310036558', '310049213', '310083046', '310095655', '310129175', '310144702', '310175686', '310190503', '310222388', '310236060', '310267624', '310281872', '310312101', '310324432', '310356133', '310370083', '310403930', '310419440', '310451697', '310465721', '310496705', '310533333', '310653401', '310677190', '310771443', '310835693', '310913939', '311062665', '311105791', '311121599', '311159247', '311174426', '311209385', '311223554', '311261142', '311276191', '311310076', '311325816', '311360285', '311376872', '311414229', '311432099', '311467171', '311483123', '311518060', '311533708', '311568208', '311585498', '311620567', '311636100', '311673186', '311714067', '311930252', '312174730', '312251370', '312538412']",[]
1524659,109,95,87.1559633027523,"['27115120', '27229236', '27266208', '27324050', '27638163', '27669393', '28130552', '28317938', '29693281', '29693308', '29693320', '29699561', '30812512', '30931734', '32932677', '33647501', '27105630', '27108981', '27115075', '27118809', '27126192', '27129963', '27138678', '27142070', '27150871', '27153975', '27162693', '27166526', '27174632', '27178577', '27186742', '27189699', '27195271', '27199954', '27202226', '27208778', '27213187', '27217027', '27220854', '27227607', '27229421', '27233483', '27238270', '27241025', '27244723', '27250050', '27253146', '27256285', '27262604', '27265966', '27268608', '27273198', '27276465', '27281556', '27285780', '27288220', '27292182', '27297334', '27301709', '27308609', '27312891', '27319822', '27323056', '27330742', '27333776', '27337119', '27342584', '27346448', '27354146', '27356864', '27360710', '27365658', '27369616', '27377743', '27382372', '27389299', '27393522', '27400883', '27405212', '27412448', '27415948', '27418398', '27423197', '27427088', '27435011', '27439152', '27446327', '27450223', '27453833', '27462793', '27469659', '27475470', '27483340', '27487447', '27493909', '27498636', '27505394', '27510617', '27516590', '27517415', '27522516', '27527687', '27534413', '27539114', '27546650', '27551162', '27556977', '27561711', '27567793']",[]
3456256,98,85,86.73469387755102,"['82151458', '82190881', '82231385', '82266853', '82303576', '82342640', '82379040', '82414469', '82452922', '82490942', '82528545', '82567352', '82609145', '82637947', '82650536', '82677959', '82687953', '82713896', '82724234', '82749962', '82759987', '82784515', '82794507', '82811871', '82819573', '82836570', '82844236', '82861298', '82869175', '82894098', '82918683', '82943567', '82968405', '83007459', '83008382', '83034592', '83061572', '83079839', '83087874', '83106722', '83114676', '83134638', '83143423', '83163069', '83171199', '83190199', '83198296', '83217234', '83225580', '83244078', '83252711', '83261666', '83271500', '83279506', '83288363', '83298996', '83307246', '83326077', '83334107', '83354798', '83362747', '83380681', '83388848', '83407656', '83416479', '83434885', '83443871', '83462777', '83470883', '83489636', '83498279', '83518501', '83526663', '83545017', '83553238', '83572169', '83580785', '83601048', '83609681', '83628873', '83637721', '83647112', '83656432', '83666449', '83685480', '83698203', '83717050', '83725281', '83743785', '83753349', '83761859', '83771358', '83779594', '83798222', '83806903', '83825267', '83834158', '83834778']",[]
1003694333,125,108,86.4,"['315522893', '315522919', '315522965', '315810850', '315824650', '315850639', '315903231', '315903482', '315946679', '315947082', '316104838', '316105063', '316154028', '316154138', '316208483', '316208587', '316244601', '316244866', '316331906', '316332299', '316388528', '316388706', '316445619', '316445872', '316583618', '316583755', '316860687', '316860739', '316904187', '316904328', '316957280', '316957443', '317047707', '317047826', '317529243', '317529567', '317613615', '317613749', '317691399', '317691587', '317758429', '317758513', '317818526', '317818636', '317870742', '317870820', '318085070', '318087236', '318336759', '318336884', '318337515', '318337608', '318499637', '318500426', '318558611', '318558663', '318614041', '318614139', '318614242', '318701188', '318701254', '318767539', '318767634', '318853858', '318853920', '318902135', '318902217', '318967285', '318967346', '319044276', '319045155', '322234105', '322238217', '322241593', '322597348', '322683581', '322683643', '322761029', '322761071', '322851737', '322851772', '324456016', '324473383', '324824216', '324824753', '324880010', '324880077', '324880161', '324954043', '325035572', '325035627', '325109003', '325109837', '325178627', '325178707', '325444665', '325445398', '325614497', '325614689', '325771411', '325773705', '325774816', '325923980', '325972468', '325973170', '326166221', '326166283', '326259142', '326259197', '326324605', '326324653', '327914133', '327914256', '327978289', '327978399', '327978455', '328041347', '328136539', '328136581', '328196629', '328196749', '328253088', '328253142', '328315022', '328315215']",[]
2351015,88,76,86.36363636363636,"['81180529', '39441882', '39446336', '39446500', '39446538', '39446560', '39446570', '39458649', '39463851', '39474481', '39480710', '39491259', '39496598', '39507499', '39512971', '39520884', '39527650', '39535803', '39542018', '39552062', '39559326', '39566471', '39573089', '39581209', '39587733', '39596114', '39602763', '39610373', '39614295', '39628821', '39632421', '39640118', '39645095', '39654584', '39659518', '39668568', '39676874', '39682057', '39698531', '39698636', '39698816', '39715969', '39722392', '39732571', '39738415', '39750667', '39756489', '39767731', '39774050', '39789171', '39794987', '39807666', '39813955', '39829213', '39834366', '39844662', '39854511', '39874455', '39887374', '39896288', '39903790', '39914334', '39920130', '39929721', '39936400', '39951759', '39963846', '39968818', '39984707', '39985424', '40002314', '40009342', '40019321', '40035067', '40036039', '40050079', '40052069', '40057333', '40067767', '40086457', '40086473', '40106507', '40126083', '40128159', '40150268', '40151233', '40170445', '40171958']",[]
2750457,72,62,86.11111111111111,"['46338837', '46355551', '46504455', '46354696', '46360582', '46369131', '46377992', '46383462', '46392189', '46399017', '46412212', '46420056', '46425569', '46434021', '46441452', '46456485', '46463258', '46477837', '46484002', '46497880', '46504412', '46519221', '46526203', '46537009', '46548212', '46560855', '46570218', '46582626', '46592471', '46602703', '46615529', '46624809', '46637053', '46647497', '46658301', '46658431', '46668576', '46675258', '46682691', '46692445', '46704016', '46714382', '46726572', '46736772', '46749069', '46759472', '46771164', '46786296', '46799296', '46813567', '46823926', '46847243', '46857155', '46867720', '46874960', '46881610', '46893637', '46902587', '46915499', '46923015', '46934216', '46944453', '46958078', '46967419', '46967493', '46974341', '46983354', '46990976', '47006649', '47014701', '47024235', '47024266']",[]
2048120,93,80,86.02150537634408,"['33677555', '33688042', '33695309', '33705554', '33713339', '33722931', '33729835', '33739600', '33747100', '33752187', '33765452', '33774575', '33784742', '33792062', '33799109', '33808837', '33816432', '33826926', '33833659', '33843654', '33850875', '33861210', '33868305', '33874706', '33886209', '33897728', '33905691', '33915455', '33923123', '33933312', '33940125', '33949946', '33958060', '33967656', '33974401', '33984651', '33990469', '33997461', '34004553', '34010816', '34015809', '34023322', '34028639', '34032625', '34041044', '34045175', '34049575', '34056997', '34062328', '34066417', '34074825', '34078962', '34082689', '34089898', '34094390', '34098744', '34106477', '34111959', '34115330', '34122519', '34128487', '34133152', '34140458', '34149091', '34158527', '34165748', '34175371', '34182343', '34192681', '34199584', '34208566', '34215320', '34224556', '34231028', '34240664', '34248191', '34256709', '34264770', '34273603', '34281378', '34290972', '34296851', '34307048', '34313721', '34322519', '34329050', '34337128', '34344508', '34354122', '34360727', '34369006', '34376709', '34384468']",[]
2248950,100,85,85.0,"['37901241', '39086697', '42017057', '37372263', '37372273', '37378160', '37426106', '37439170', '37487342', '37494230', '37541473', '37550755', '37588609', '37596324', '37605894', '37638282', '37645396', '37674929', '37685437', '37707205', '37716097', '37738786', '37748140', '37769863', '37779047', '37790978', '37801013', '37811860', '37820217', '37829540', '37833414', '37844077', '37850531', '37860908', '37868337', '37872392', '37877818', '37884877', '37888342', '37893695', '37904036', '37910743', '37921101', '37928432', '37937990', '37944967', '37952854', '37961184', '37968056', '37975135', '37978941', '37984966', '37993851', '38001548', '38010633', '38018135', '38028935', '38036756', '38049772', '38057186', '38068346', '38076468', '38083952', '38088483', '38093177', '38104887', '38113292', '38126487', '38133286', '38145853', '38152782', '38165612', '38172497', '38185877', '38193693', '38208062', '38215912', '38223057', '38234184', '38238810', '38248642', '38255592', '38269272', '38275819', '38281533', '38291679', '38298942', '38309530', '38316038', '38328079', '38335854', '38360444', '38369383', '38374908', '38388468', '38399196', '38410666', '38419622', '38436037', '54601110']",[]
1003374314,105,89,84.76190476190476,"['305792241', '306721394', '314647606', '315071641', '315444277', '315829983', '316098212', '305790522', '305822899', '305849292', '305882335', '305918271', '305942992', '306020934', '306049624', '306085518', '306102882', '306102890', '306158870', '306158908', '306212820', '306247705', '306269015', '306299876', '306322471', '306371363', '306378510', '306575626', '306621186', '306659947', '306720503', '306720531', '306747348', '306756409', '306813059', '306838104', '306865579', '306905935', '306938190', '306938217', '306999628', '306999647', '307057199', '307057206', '307057230', '307057252', '307173714', '307173733', '307241760', '307241770', '307299055', '307299081', '307353450', '307353458', '307413840', '307470256', '307470287', '307520776', '307520788', '307580121', '307580139', '307705129', '307705147', '307757884', '307757893', '307854007', '307918870', '307918881', '307987946', '307987959', '308033838', '308033850', '308097166', '308097173', '308277856', '308277862', '308277873', '308277885', '308372616', '308372631', '308425686', '308425707', '308472366', '308492542', '308513017', '308515794', '308515804', '308581395', '308581404', '308688202', '308688212', '308756956', '308756972', '308797072', '308797082', '308797113', '308812927', '308812955', '308812988', '308887424', '308887450', '308931566', '308931572', '308973178', '308973225']",[]
3088498,131,111,84.7328244274809,"['88857678', '50908032', '50914541', '50926219', '50932316', '50943300', '50955855', '50960774', '50967272', '50979797', '50986803', '50999598', '51007033', '51018080', '51025943', '51036664', '51045053', '51056034', '51064176', '51074998', '51083860', '51094360', '51102241', '51113577', '51119978', '51130262', '51132641', '51139672', '51149136', '51151659', '51173415', '51183714', '51188973', '51197390', '51204176', '51223793', '51235210', '51251239', '51262571', '51271148', '51281738', '51290403', '51300544', '51302207', '51309607', '51319720', '51322477', '51330652', '51341539', '51346495', '51362390', '51370899', '51375868', '51382250', '51392018', '51408076', '51420911', '51430854', '51443374', '51451760', '51463585', '51466281', '51474881', '51487032', '51492495', '51499234', '51508477', '51513619', '51520202', '51529996', '51537947', '51550719', '51559123', '51573235', '51582664', '51595616', '51604342', '51616113', '51618651', '51626944', '51639338', '51644692', '51651560', '51661340', '51666653', '51673564', '51682916', '51688693', '51697037', '51704891', '51710372', '51717061', '51727275', '51736705', '51750421', '51758864', '51770548', '51772428', '51779581', '51792336', '51794311', '51800984', '51813556', '51815543', '51822378', '51837781', '51845944', '51859624', '51867741', '51881422', '51890708', '51903877', '51912681', '51924460', '51926831', '51933797', '51946466', '51948636', '51955962', '51969229', '51971552', '51978438', '51994022', '52002175', '52015487', '52023627', '52036816', '52046223', '52059843', '52070015', '52083663']",[]
